"Name","Slug","Poster URL","Running time","Release Date","Budget","Box Office","Production Companies","Distribution Companies","Country","Language"
"Blue Moon","Blue_Moon_(2025_film)","https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Blue_Moon_poster.jpg/250px-Blue_Moon_poster.jpg","1:40","February 18, 2025","","$3 million","Detour Filmproduction | Renovo Media Group","Sony Pictures Classics","United States","English"
"If I Had Legs I'd Kick You","If_I_Had_Legs_I%27d_Kick_You","https://upload.wikimedia.org/wikipedia/en/thumb/0/08/If_I_Had_Legs_I%27d_Kick_You_poster.jpg/250px-If_I_Had_Legs_I%27d_Kick_You_poster.jpg","1:54","January 24, 2025","","$1.4 million","","A24","United States","English"
"Arco","Arco_(film)","https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Arco_poster.jpg/250px-Arco_poster.jpg","1:29","16 May 2025","€9.5 million","$3.7 million","Remembers | MountainA | France 3 Cinéma | Fit Via Vi Film Productions | Sons of Rigor","Diaphana Distribution | Neon","","French"
"","Elio_(film)","","","","","","","","",""
"Little Amélie or the Character of Rain","Little_Am%C3%A9lie_or_the_Character_of_Rain","https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Amelie_et_la_metaphysique_des_tubes.jpg/250px-Amelie_et_la_metaphysique_des_tubes.jpg","1:18","20 May 2025","€9.5 million","$1.5 million","Ikki Films | Maybe Movies | Puffin Pictures | 2 Minutes | France 3 Cinéma","Haut et Court | Paradiso Filmed Entertainment","","French"
"Zootopia 2","Zootopia_2","https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Zootopia_2_%282025_film%29.jpg/250px-Zootopia_2_%282025_film%29.jpg","1:48","November 13, 2025","$150 million","$1.711 billion","","Walt Disney Studios | Motion Pictures","United States","English"
"Cutting Through Rocks","Cutting_Through_Rocks","","1:35","27 January 2025","","$7,066","","","","Azerbaijani | Turkish | Persian | English"
"Mr Nobody Against Putin","Mr_Nobody_Against_Putin","https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Mr._Nobody_Against_Putin_Poster.jpg/250px-Mr._Nobody_Against_Putin_Poster.jpg","","25 January 2025","","","Made in Copenhagen | Produced by PINK | ZDF | / | Arte","","","Russian | English"
"All the Empty Rooms","All_the_Empty_Rooms","","0:33","August 31, 2025","","","Smartypants | Artemis Rising Foundation | Hyperobject Industries","Netflix","United States","English"
